Model,Dataset,Schedule,Total_Epochs,Total_Time_Hours,Total_Time_Days,Computational_Savings_%,Rounds_Completed
GRU,CounterMovementJump,Aggressive,3100,0.74,0.03,69.00,3
GRU,CounterMovementJump,Conservative,12500,3.05,0.13,-25.00,5
GRU,CounterMovementJump,VeryAggressive,5600,1.34,0.06,44.00,3
GRU,CounterMovementJump,Standard,3420,0.80,0.03,65.80,7
GRU,DucksAndGeese,Moderate,3600,0.10,0.00,64.00,4
GRU,DucksAndGeese,Aggressive,3100,0.09,0.00,69.00,3
GRU,DucksAndGeese,Conservative,12500,0.37,0.02,-25.00,5
GRU,DucksAndGeese,VeryAggressive,5600,0.16,0.01,44.00,3
GRU,DucksAndGeese,Standard,3420,0.10,0.00,65.80,7
GRU,EigenWorms,Moderate,3600,0.28,0.01,64.00,4
GRU,EigenWorms,Aggressive,3100,0.25,0.01,69.00,3
GRU,EigenWorms,Conservative,12500,1.00,0.04,-25.00,5
GRU,EigenWorms,VeryAggressive,5600,0.44,0.02,44.00,3
GRU,EigenWorms,Standard,3420,0.26,0.01,65.80,7
GRU,FaultDetectionB,Moderate,3600,0.11,0.00,64.00,4
GRU,FaultDetectionB,Aggressive,3100,0.10,0.00,69.00,3
GRU,FaultDetectionB,Conservative,12500,0.40,0.02,-25.00,5
GRU,FaultDetectionB,VeryAggressive,5600,0.18,0.01,44.00,3
GRU,FaultDetectionB,Standard,3420,0.11,0.00,65.80,7
GRU,FiftyWords,Moderate,3600,0.19,0.01,64.00,4
GRU,FiftyWords,Aggressive,3100,0.16,0.01,69.00,3
GRU,FiftyWords,Conservative,12500,0.65,0.03,-25.00,5
GRU,FiftyWords,VeryAggressive,5600,0.29,0.01,44.00,3
GRU,FiftyWords,Standard,3420,0.18,0.01,65.80,7
GRU,HouseTwenty,Moderate,3600,0.07,0.00,64.00,4
GRU,HouseTwenty,Aggressive,3100,0.06,0.00,69.00,3
GRU,HouseTwenty,Conservative,12500,0.24,0.01,-25.00,5
GRU,HouseTwenty,VeryAggressive,5600,0.10,0.00,44.00,3
GRU,HouseTwenty,Standard,3420,0.06,0.00,65.80,7
GRU,KeplerLightCurves,Moderate,3600,0.93,0.04,64.00,4
GRU,KeplerLightCurves,Aggressive,3100,0.80,0.03,69.00,3
GRU,KeplerLightCurves,Conservative,12500,3.27,0.14,-25.00,5
GRU,KeplerLightCurves,VeryAggressive,5600,1.44,0.06,44.00,3
GRU,KeplerLightCurves,Standard,3420,0.85,0.04,65.80,7
GRU,RightWhaleCalls,Moderate,3600,1.13,0.05,64.00,4
GRU,RightWhaleCalls,Aggressive,3100,0.97,0.04,69.00,3
GRU,RightWhaleCalls,Conservative,12500,3.90,0.16,-25.00,5
GRU,RightWhaleCalls,VeryAggressive,5600,1.74,0.07,44.00,3
GRU,RightWhaleCalls,Standard,3420,1.07,0.04,65.80,7
GRU,classification_ozone,Moderate,3600,0.05,0.00,64.00,4
GRU,classification_ozone,Aggressive,3100,0.04,0.00,69.00,3
GRU,classification_ozone,Conservative,12500,0.17,0.01,-25.00,5
GRU,classification_ozone,VeryAggressive,5600,0.07,0.00,44.00,3
GRU,classification_ozone,Standard,3420,0.05,0.00,65.80,7
LSTM,AbnormalHeartbeat,Moderate,3600,1.68,0.07,64.00,4
LSTM,AbnormalHeartbeat,Aggressive,3100,1.45,0.06,69.00,3
LSTM,AbnormalHeartbeat,Conservative,12500,5.79,0.24,-25.00,5
LSTM,AbnormalHeartbeat,VeryAggressive,5600,2.66,0.11,44.00,3
LSTM,AbnormalHeartbeat,Standard,3420,1.56,0.07,65.80,7
LSTM,Adiac,Moderate,3600,0.20,0.01,64.00,4
LSTM,Adiac,Aggressive,3100,0.17,0.01,69.00,3
LSTM,Adiac,Conservative,12500,0.67,0.03,-25.00,5
LSTM,Adiac,VeryAggressive,5600,0.29,0.01,44.00,3
LSTM,Adiac,Standard,3420,0.19,0.01,65.80,7
LSTM,ArrowHead,Moderate,3600,0.07,0.00,64.00,4
LSTM,ArrowHead,Aggressive,3100,0.06,0.00,69.00,3
LSTM,ArrowHead,Conservative,12500,0.25,0.01,-25.00,5
LSTM,ArrowHead,VeryAggressive,5600,0.11,0.00,44.00,3
LSTM,ArrowHead,Standard,3420,0.07,0.00,65.80,7
LSTM,Beef,Moderate,3600,0.34,0.01,64.00,4
LSTM,Beef,Aggressive,3100,0.29,0.01,69.00,3
LSTM,Beef,Conservative,12500,0.67,0.03,-25.00,5
LSTM,Beef,VeryAggressive,5600,0.23,0.01,44.00,3
LSTM,Beef,Standard,3420,0.38,0.02,65.80,7
LSTM,BeetleFly,Moderate,3600,0.05,0.00,64.00,4
LSTM,BeetleFly,Aggressive,3100,0.05,0.00,69.00,3
LSTM,BeetleFly,Conservative,12500,0.19,0.01,-25.00,5
LSTM,BeetleFly,VeryAggressive,5600,0.09,0.00,44.00,3
LSTM,BeetleFly,Standard,3420,0.05,0.00,65.80,7
LSTM,BinaryHeartbeat,Moderate,3600,2.34,0.10,64.00,4
LSTM,BinaryHeartbeat,Aggressive,3100,2.03,0.08,69.00,3
LSTM,BinaryHeartbeat,Conservative,12500,8.06,0.34,-25.00,5
LSTM,BinaryHeartbeat,VeryAggressive,5600,3.74,0.16,44.00,3
LSTM,BinaryHeartbeat,Standard,3420,2.18,0.09,65.80,7
LSTM,BirdChicken,Moderate,3600,0.06,0.00,64.00,4
LSTM,BirdChicken,Aggressive,3100,0.05,0.00,69.00,3
LSTM,BirdChicken,Conservative,12500,0.19,0.01,-25.00,5
LSTM,BirdChicken,VeryAggressive,5600,0.09,0.00,44.00,3
LSTM,BirdChicken,Standard,3420,0.06,0.00,65.80,7
LSTM,CBF,Moderate,3600,0.20,0.01,64.00,4
LSTM,CBF,Aggressive,3100,0.17,0.01,69.00,3
LSTM,CBF,Conservative,12500,0.67,0.03,-25.00,5
LSTM,CBF,VeryAggressive,5600,0.29,0.01,44.00,3
LSTM,CBF,Standard,3420,0.19,0.01,65.80,7
LSTM,Car,Moderate,3600,0.09,0.00,64.00,4
LSTM,Car,Aggressive,3100,0.08,0.00,69.00,3
LSTM,Car,Conservative,12500,0.32,0.01,-25.00,5
LSTM,Car,VeryAggressive,5600,0.15,0.01,44.00,3
LSTM,Car,Standard,3420,0.09,0.00,65.80,7
LSTM,CatsDogs,Moderate,3600,2.06,0.09,64.00,4
LSTM,CatsDogs,Aggressive,3100,1.80,0.07,69.00,3
LSTM,CatsDogs,Conservative,12500,7.12,0.30,-25.00,5
LSTM,CatsDogs,VeryAggressive,5600,3.32,0.14,44.00,3
LSTM,CatsDogs,Standard,3420,1.90,0.08,65.80,7
LSTM,ChlorineConcentration,Moderate,3600,0.74,0.03,64.00,4
LSTM,ChlorineConcentration,Aggressive,3100,0.64,0.03,69.00,3
LSTM,ChlorineConcentration,Conservative,12500,2.51,0.10,-25.00,5
LSTM,ChlorineConcentration,VeryAggressive,5600,1.17,0.05,44.00,3
LSTM,ChlorineConcentration,Standard,3420,0.69,0.03,65.80,7
LSTM,CinCECGTorso,Moderate,3600,1.97,0.08,64.00,4
LSTM,CinCECGTorso,Aggressive,3100,1.72,0.07,69.00,3
LSTM,CinCECGTorso,Conservative,12500,6.65,0.28,-25.00,5
LSTM,CinCECGTorso,VeryAggressive,5600,3.17,0.13,44.00,3
LSTM,CinCECGTorso,Standard,3420,1.82,0.08,65.80,7
LSTM,CounterMovementJump,Moderate,3600,4.37,0.18,64.00,4
LSTM,CounterMovementJump,Aggressive,3100,3.82,0.16,69.00,3
LSTM,CounterMovementJump,Conservative,12500,15.04,0.63,-25.00,5
LSTM,CounterMovementJump,VeryAggressive,5600,7.04,0.29,44.00,3
LSTM,CounterMovementJump,Standard,3420,4.04,0.17,65.80,7
LSTM,DucksAndGeese,Moderate,3600,0.58,0.02,64.00,4
LSTM,DucksAndGeese,Aggressive,3100,0.51,0.02,69.00,3
LSTM,DucksAndGeese,Conservative,12500,1.99,0.08,-25.00,5
LSTM,DucksAndGeese,VeryAggressive,5600,0.94,0.04,44.00,3
LSTM,DucksAndGeese,Standard,3420,0.53,0.02,65.80,7
LSTM,EigenWorms,Moderate,3600,1.35,0.06,64.00,4
LSTM,EigenWorms,Aggressive,3100,1.17,0.05,69.00,3
LSTM,EigenWorms,Conservative,12500,4.66,0.19,-25.00,5
LSTM,EigenWorms,VeryAggressive,5600,2.15,0.09,44.00,3
LSTM,EigenWorms,Standard,3420,1.25,0.05,65.80,7
LSTM,FaultDetectionB,Moderate,3600,0.57,0.02,64.00,4
LSTM,FaultDetectionB,Aggressive,3100,0.50,0.02,69.00,3
LSTM,FaultDetectionB,Conservative,12500,1.97,0.08,-25.00,5
LSTM,FaultDetectionB,VeryAggressive,5600,0.92,0.04,44.00,3
LSTM,FaultDetectionB,Standard,3420,0.53,0.02,65.80,7
LSTM,FiftyWords,Moderate,3600,0.56,0.02,64.00,4
LSTM,FiftyWords,Aggressive,3100,0.48,0.02,69.00,3
LSTM,FiftyWords,Conservative,12500,1.94,0.08,-25.00,5
LSTM,FiftyWords,VeryAggressive,5600,0.86,0.04,44.00,3
LSTM,FiftyWords,Standard,3420,0.53,0.02,65.80,7
LSTM,HouseTwenty,Moderate,3600,0.41,0.02,64.00,4
LSTM,HouseTwenty,Aggressive,3100,0.35,0.01,69.00,3
LSTM,HouseTwenty,Conservative,12500,1.44,0.06,-25.00,5
LSTM,HouseTwenty,VeryAggressive,5600,0.64,0.03,44.00,3
LSTM,HouseTwenty,Standard,3420,0.37,0.02,65.80,7
LSTM,KeplerLightCurves,Moderate,3600,6.65,0.28,64.00,4
LSTM,KeplerLightCurves,Aggressive,3100,5.78,0.24,69.00,3
LSTM,KeplerLightCurves,Conservative,12500,22.22,0.93,-25.00,5
LSTM,KeplerLightCurves,VeryAggressive,5600,10.50,0.44,44.00,3
LSTM,KeplerLightCurves,Standard,3420,6.13,0.26,65.80,7
LSTM,RightWhaleCalls,Moderate,3600,0.76,0.03,64.00,4
LSTM,RightWhaleCalls,Aggressive,3100,0.63,0.03,69.00,3
LSTM,RightWhaleCalls,Conservative,12500,2.60,0.11,-25.00,5
LSTM,RightWhaleCalls,VeryAggressive,5600,1.10,0.05,44.00,3
LSTM,RightWhaleCalls,Standard,3420,0.75,0.03,65.80,7
LSTM,classification_ozone,Moderate,3600,0.23,0.01,64.00,4
LSTM,classification_ozone,Aggressive,3100,0.20,0.01,69.00,3
LSTM,classification_ozone,Conservative,12500,0.80,0.03,-25.00,5
LSTM,classification_ozone,VeryAggressive,5600,0.37,0.02,44.00,3
LSTM,classification_ozone,Standard,3420,0.21,0.01,65.80,7
Transformer,AbnormalHeartbeat,Moderate,3600,1.57,0.07,64.00,4
Transformer,AbnormalHeartbeat,Aggressive,3100,1.33,0.06,69.00,3
Transformer,AbnormalHeartbeat,Conservative,12500,5.50,0.23,-25.00,5
Transformer,AbnormalHeartbeat,VeryAggressive,5600,2.50,0.10,44.00,3
Transformer,AbnormalHeartbeat,Standard,3420,1.40,0.06,65.80,7
Transformer,Adiac,Moderate,3600,0.33,0.01,64.00,4
Transformer,Adiac,Aggressive,3100,0.27,0.01,69.00,3
Transformer,Adiac,Conservative,12500,1.11,0.05,-25.00,5
Transformer,Adiac,VeryAggressive,5600,0.45,0.02,44.00,3
Transformer,Adiac,Standard,3420,0.34,0.01,65.80,7
Transformer,ArrowHead,Moderate,3600,0.09,0.00,64.00,4
Transformer,ArrowHead,Aggressive,3100,0.08,0.00,69.00,3
Transformer,ArrowHead,Conservative,12500,0.32,0.01,-25.00,5
Transformer,ArrowHead,VeryAggressive,5600,0.13,0.01,44.00,3
Transformer,ArrowHead,Standard,3420,0.09,0.00,65.80,7
Transformer,Beef,Moderate,3600,0.06,0.00,64.00,4
Transformer,Beef,Aggressive,3100,0.05,0.00,69.00,3
Transformer,Beef,Conservative,12500,0.20,0.01,-25.00,5
Transformer,Beef,VeryAggressive,5600,0.09,0.00,44.00,3
Transformer,Beef,Standard,3420,0.06,0.00,65.80,7
Transformer,BeetleFly,Moderate,3600,0.04,0.00,64.00,4
Transformer,BeetleFly,Aggressive,3100,0.04,0.00,69.00,3
Transformer,BeetleFly,Conservative,12500,0.16,0.01,-25.00,5
Transformer,BeetleFly,VeryAggressive,5600,0.07,0.00,44.00,3
Transformer,BeetleFly,Standard,3420,0.04,0.00,65.80,7
Transformer,BinaryHeartbeat,Moderate,3578,1.58,0.07,63.49,4
Transformer,BinaryHeartbeat,Aggressive,3058,1.28,0.05,68.80,3
Transformer,BinaryHeartbeat,Conservative,12450,5.74,0.24,-27.04,5
Transformer,BinaryHeartbeat,VeryAggressive,5498,2.32,0.10,43.90,3
Transformer,BinaryHeartbeat,Standard,3408,1.57,0.07,65.22,7
Transformer,BirdChicken,Moderate,3600,0.04,0.00,64.00,4
Transformer,BirdChicken,Aggressive,3100,0.04,0.00,69.00,3
Transformer,BirdChicken,Conservative,12500,0.15,0.01,-25.00,5
Transformer,BirdChicken,VeryAggressive,5600,0.07,0.00,44.00,3
Transformer,BirdChicken,Standard,3420,0.04,0.00,65.80,7
Transformer,CBF,Moderate,3600,0.39,0.02,64.00,4
Transformer,CBF,Aggressive,3100,0.32,0.01,69.00,3
Transformer,CBF,Conservative,12500,1.30,0.05,-25.00,5
Transformer,CBF,VeryAggressive,5600,0.52,0.02,44.00,3
Transformer,CBF,Standard,3420,0.39,0.02,65.80,7
Transformer,Car,Moderate,3600,0.11,0.00,64.00,4
Transformer,Car,Aggressive,3100,0.09,0.00,69.00,3
Transformer,Car,Conservative,12500,0.37,0.02,-25.00,5
Transformer,Car,VeryAggressive,5600,0.17,0.01,44.00,3
Transformer,Car,Standard,3420,0.11,0.00,65.80,7
Transformer,CatsDogs,Moderate,3589,1.37,0.06,63.75,4
Transformer,CatsDogs,Aggressive,3079,1.13,0.05,68.90,3
Transformer,CatsDogs,Conservative,12475,4.76,0.20,-26.01,5
Transformer,CatsDogs,VeryAggressive,5549,2.03,0.08,43.95,3
Transformer,CatsDogs,Standard,3414,1.21,0.05,65.52,7
Transformer,ChlorineConcentration,Moderate,3600,0.45,0.02,64.00,4
Transformer,ChlorineConcentration,Aggressive,3100,0.37,0.02,69.00,3
Transformer,ChlorineConcentration,Conservative,12500,1.56,0.07,-25.00,5
Transformer,ChlorineConcentration,VeryAggressive,5600,0.64,0.03,44.00,3
Transformer,ChlorineConcentration,Standard,3420,0.42,0.02,65.80,7
Transformer,CinCECGTorso,Moderate,3600,1.61,0.07,64.00,4
Transformer,CinCECGTorso,Aggressive,3100,1.40,0.06,69.00,3
Transformer,CinCECGTorso,Conservative,12500,5.71,0.24,-25.00,5
Transformer,CinCECGTorso,VeryAggressive,5600,2.53,0.11,44.00,3
Transformer,CinCECGTorso,Standard,3420,1.50,0.06,65.80,7
Transformer,CounterMovementJump,Moderate,3600,3.00,0.12,64.00,4
Transformer,CounterMovementJump,Aggressive,3100,2.52,0.10,69.00,3
Transformer,CounterMovementJump,Conservative,12500,10.49,0.44,-25.00,5
Transformer,CounterMovementJump,VeryAggressive,5600,4.66,0.19,44.00,3
Transformer,CounterMovementJump,Standard,3420,2.77,0.12,65.80,7
Transformer,DucksAndGeese,Moderate,3600,0.52,0.02,64.00,4
Transformer,DucksAndGeese,Aggressive,3100,0.44,0.02,69.00,3
Transformer,DucksAndGeese,Conservative,12500,1.81,0.08,-25.00,5
Transformer,DucksAndGeese,VeryAggressive,5600,0.82,0.03,44.00,3
Transformer,DucksAndGeese,Standard,3420,0.50,0.02,65.80,7
Transformer,EigenWorms,Moderate,3578,1.30,0.05,63.49,4
Transformer,EigenWorms,Aggressive,3058,1.08,0.05,68.80,3
Transformer,EigenWorms,Conservative,12450,4.22,0.18,-27.04,5
Transformer,EigenWorms,VeryAggressive,5498,1.70,0.07,43.90,3
Transformer,EigenWorms,Standard,3408,1.29,0.05,65.22,7
Transformer,FaultDetectionB,Moderate,3600,0.87,0.04,64.00,4
Transformer,FaultDetectionB,Aggressive,3100,0.69,0.03,69.00,3
Transformer,FaultDetectionB,Conservative,12500,2.88,0.12,-25.00,5
Transformer,FaultDetectionB,VeryAggressive,5600,1.14,0.05,44.00,3
Transformer,FaultDetectionB,Standard,3420,0.86,0.04,65.80,7
Transformer,FiftyWords,Moderate,3600,0.47,0.02,64.00,4
Transformer,FiftyWords,Aggressive,3100,0.39,0.02,69.00,3
Transformer,FiftyWords,Conservative,12500,1.56,0.07,-25.00,5
Transformer,FiftyWords,VeryAggressive,5600,0.66,0.03,44.00,3
Transformer,FiftyWords,Standard,3420,0.46,0.02,65.80,7
Transformer,HouseTwenty,Moderate,3556,0.85,0.04,62.96,4
Transformer,HouseTwenty,Aggressive,3016,0.67,0.03,68.58,3
Transformer,HouseTwenty,Conservative,12400,2.90,0.12,-29.17,5
Transformer,HouseTwenty,VeryAggressive,5396,1.12,0.05,43.79,3
Transformer,HouseTwenty,Standard,3396,0.85,0.04,64.62,7
Transformer,KeplerLightCurves,Moderate,3600,3.75,0.16,64.00,4
Transformer,KeplerLightCurves,Aggressive,3100,3.18,0.13,69.00,3
Transformer,KeplerLightCurves,Conservative,12500,12.61,0.53,-25.00,5
Transformer,KeplerLightCurves,VeryAggressive,5600,5.70,0.24,44.00,3
Transformer,KeplerLightCurves,Standard,3420,3.47,0.14,65.80,7
Transformer,RightWhaleCalls,Moderate,3600,1.57,0.07,64.00,4
Transformer,RightWhaleCalls,Aggressive,3100,1.31,0.05,69.00,3
Transformer,RightWhaleCalls,Conservative,12500,5.26,0.22,-25.00,5
Transformer,RightWhaleCalls,VeryAggressive,5600,2.17,0.09,44.00,3
Transformer,RightWhaleCalls,Standard,3420,1.57,0.07,65.80,7
Transformer,classification_ozone,Moderate,3600,0.22,0.01,64.00,4
Transformer,classification_ozone,Aggressive,3100,0.19,0.01,69.00,3
Transformer,classification_ozone,Conservative,12500,0.78,0.03,-25.00,5
Transformer,classification_ozone,VeryAggressive,5600,0.35,0.01,44.00,3
Transformer,classification_ozone,Standard,3420,0.20,0.01,65.80,7
